"Age Band", "2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"0-4 years",28,33,48,55,27,49,39,50,47,45,47,46,48,29,24,43,44,43
"5-9 years",28,26,50,35,30,29,36,39,39,29,27,38,36,29,25,33,30,42
"10-14 years",19,19,27,35,27,22,26,38,33,23,33,40,29,12,25,25,30,27
"15-19 years",52,75,60,102,90,107,116,125,81,96,125,123,168,103,68,72,117,140
"20-24 years",953,1584,1476,1677,1232,2626,2240,2436,2082,3057,2118,3170,3276,746,360,2423,2855,3245
"25-29 years",76,97,135,144,161,137,164,199,158,151,178,202,250,225,132,158,175,159
"30-34 years",52,72,96,73,97,91,106,120,97,105,117,105,153,121,92,108,131,121
"35-39 years",50,62,63,78,65,78,60,96,65,68,74,85,95,72,78,73,88,102
"40-44 years",34,42,57,65,55,61,67,83,66,46,49,70,58,57,53,65,65,72
"45-49 years",33,28,40,54,37,44,43,65,38,56,56,60,65,39,31,36,42,44
"50-54 years",14,27,22,27,43,38,34,43,42,33,46,32,37,31,27,32,48,52
"55-59 years",20,21,22,26,30,30,28,29,31,30,30,26,40,21,22,29,29,27
"60-64 years",12,13,10,31,9,23,15,23,26,27,26,28,23,25,19,7,17,20
"65-69 years",8,14,9,10,12,16,21,12,19,20,10,14,12,16,10,7,5,16
"70-74 years",1,2,3,5,1,6,10,10,10,11,8,9,9,7,3,8,4,9
"75-79 years",2,3,0,1,0,0,6,2,2,5,6,3,3,4,2,3,4,2
"80-84 years",0,1,1,1,1,1,0,1,1,0,1,2,2,2,0,2,0,2
"85-89 years",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
"90-94 years",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"95-99 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100-104 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105-109 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110 years +",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
