,"Work permit (third country)","Study permit (third country)","Family reunification","Permanent residency",,,,,,,,,"Work permit (third country)",,"Study permit (third country)","Family reunification","Permanent residency"
"2008",451,48,239,132,,,,,,,,,,,,,
"2009",491,45,260,152,,,,,,,,,,,,,
"2010",566,44,280,175,,,,,,,,,,,,,
"2011",638,60,326,186,,,,,,,,,,,,,
"2012",721,72,334,213,,,,,,,,,,,,,
"2013",754,70,335,262,,,,,,,,,,,,,
"2014",817,82,338,330,,,,,,,,,,,,,
"2015",903,89,362,375,,,,,,,,,,,,,
"2016",964,92,382,423,,,,,,,,,,,,,
"2017",1027,102,414,444,,,,,,,,,,,,,
"2018",1140,118,467,444,,,,,,,,,,,,,
"2019",1266,124,497,470,,,,,,,,,,,,,
"2020",1317,116,505,486,,,,,,,,,,,,,
"2021",1455,101,581,516,,,,,,,,,,,,,
"2022",1651,112,668,567,,,,,,,,,,,,,
"2023",1792,127,685,652,,,,,,,,,,,,,
"2024",1830,161,698,731,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Kilde: Udlændingeregisteret, EstherH, CPR-registeret, CVR-registeret, Indkomstregisteret",,,,,,,,,,,,,,,,,
"Anm.: Pga. efterregistreringer kan tallene for især den seneste periode stige ved næste opdatering. Udenlandske arbejdstagere og selvstændige registreret i registeret for udenlandske tjenesteydere (RUT) indgår i målingen fra 1. januar 2011. Det betyder, at man ikke uden videre kan sammenligne niveauet før 2011 med niveauet de følgende år. Se mere i info om målingen.",,,,,,,,,,,,,,,,,
